id,status,createdAt,finishedAt,text,description,category,effort,order,nextActionDate,deadline
"1760812629502","completed","2025-10-16T18:36:59.502Z","2025-10-18T16:43:25.501Z","test1","","Misc","1","1","2025-10-21",""
"1760812631042","open","2025-10-16T18:37:01.042Z","","test2","","Misc","1","2","2025-10-21",""
"1760812642355","stopped","2025-10-16T18:37:02.355Z","2025-10-17T18:43:36.350Z","test3","","Misc","1","3","2025-10-21",""
"1760812609502","completed","2025-10-16T18:36:59.502Z","2025-10-17T18:43:25.501Z","test1","","Misc","1","1","2025-10-21",""
"1760812651042","open","2025-10-16T18:37:01.042Z","","test2","","Misc","1","2","2025-10-21",""
"1760812682355","stopped","2025-10-16T18:37:02.355Z","2025-10-18T18:43:36.350Z","test3","","Misc","1","3","2025-10-21",""
"1760812629803","open","2025-10-17T18:37:03.802Z","","test4","","Misc","1","4","2025-10-23","2025-10-24"
"1760812625120","open","2025-10-17T18:37:05.120Z","","test5","","Misc","1","5","2025-10-23",""
"1760812626860","open","2025-10-17T18:37:06.860Z","","test6","","Misc","1","6","2025-10-23",""
"1760812619502","completed","2025-10-17T18:36:59.502Z","2025-10-17T18:43:25.501Z","test1","","Misc","1","1","2025-10-21",""
"1760812621042","open","2025-10-17T18:37:01.042Z","","test2","","Misc","1","2","2025-10-21",""
"1760812622355","stopped","2025-10-17T18:37:02.355Z","2025-10-16T18:43:36.350Z","test3","","Misc","1","3","2025-10-21",""
"1760812628110","open","2025-10-18T18:37:08.110Z","","test7","","Misc","1","7","2025-11-28","2025-11-28"
"1760812629400","open","2025-10-18T18:37:09.400Z","","test8","","Misc","1","8","2025-10-27",""
"1760812630763","open","2025-10-18T18:37:10.763Z","","tet9","","Misc","1","9","2025-10-31",""
